"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"2.03.01","2.03.01 - Capital Social Realizado","2T23",1760787,122649,291054,3395744,752982,1068440,275500,1657409,2888997,1416102,1310225,87196,1865950,2103387,677112,1133581,13153,4615807,1109029,30000,959493,1297852,5703542,265008,269172,168231,512438,2654090,1000,1868316,531182,1095511,866080,2723788,75348,41975
"2.03.02","2.03.02 - Reservas de Capital","2T23",1056233,0,5388,-72755,173311,0,0,13250,-56298,198322,-61973,0,0,0,-3017,-44593,0,95507,-9816,0,0,24817,1236743,16611,259,-29700,-15876,20953,0,-41038,1919551,11783,-11956,-83099,-3655,21000
"2.03.05","2.03.05 - Lucros/Prejuízos Acumulados","2T23",-3333473,-34574,0,442961,163193,-3833,-912,110789,0,162153,13645,70354,0,-2743250,12522,0,6730,211675,41893,123070,0,-158605,-12092714,53291,0,0,-16860,-3875130,0,-1228617,28806,-52438,0,-2622234,0,0
"2.03.09","2.03.09 - Participação dos Acionistas Não Controladores","2T23",6114,-20,137528,723725,154579,0,56257,833429,66449,798,842877,0,349791,-93917,62616,82495,0,792567,97304,0,34754,-4072,-66742,0,157313,4070,22180,-1200,10244,32538,18796,6037,52391,0,175306,37822
"1.01.04","1.01.04 - Estoques","2T23",0,4150,602449,3267450,1369589,131816,0,3164451,1232062,2503777,2545132,228329,1448869,748052,0,660639,30978,4716628,0,158904,866011,407503,602049,164028,458438,0,288801,265233,49429,457697,1457556,675178,1071082,71360,978482,178875
"1.02.01.05","1.02.01.03 - Estoques","2T23",0,82357,55154,2211947,2774269,1145229,0,473216,1728646,385887,632382,166442,935198,106685,0,160899,227,3922938,0,0,207285,541875,86655,12263,52547,0,503467,184066,255912,114584,983155,1240414,256759,127081,0,0
"2.01.03","2.01.03 - Obrigações Fiscais","2T23",0,138,31634,96242,29897,2127,21292,0,34187,64372,5568,54328,0,73172,13095,17236,172,142384,21002,5230,19801,20553,36335,0,33086,28437,6187,0,19331,10638,20952,31744,4115,27541,7230,1004
"2.03.08","2.03.08 - Outros Resultados Abrangentes","2T23",0,27,0,375457,0,0,0,0,0,0,0,0,0,-1011,0,6312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","2T23",0,0,9220,492168,0,0,941,193323,37747,0,66934,24432,38085,991,0,31853,0,78623,797,26028,17949,0,0,0,13724,0,5000,3604,30737,61691,22816,30170,39418,205,115431,349
"2.03.04","2.03.04 - Reservas de Lucros","2T23",0,0,668517,3378573,398425,11701,180379,240308,1744478,0,117655,3046,3170391,0,80375,133883,10498,1147356,54204,6000,68721,0,-2621,107451,108039,382532,142412,0,53006,0,161599,-367037,455041,0,26919,-4122
"1.02.01.01","1.02.01.01 - Aplicações Financeiras","2T23",0,0,0,1762565,0,0,0,9394,0,93844,0,0,0,103,0,6312,0,0,9394,0,0,0,0,0,2751,552,6949,0,0,4729,0,0,0,0,0,0
"2.03.06","2.03.06 - Ajustes de Avaliação Patrimonial","2T23",0,0,0,0,-31880,0,0,0,0,0,6243,0,0,0,0,0,0,-51355,0,0,0,92973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
