"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"1","1 - Ativo Total","4T22",1746464,109066,2798431,16560139,6489415,1254384,951856,6698124,5533594,5486674,5197531,1080787,10321737,1133288,1646817,1928664,227220,22601329,2301121,345106,2061151,2819254,1174676,735591,1686545,1621634,2211773,673696,408649,1607828,4008447,4128354,2575050,366771,1649694,467923
"1.01","1.01 - Ativo Circulante","4T22",667590,17095,2063522,9166995,2777103,164813,612681,5100052,2337621,3969282,3006275,373865,3257709,965835,1089018,1517195,115990,10303472,1844235,270425,1493743,1064763,930386,616326,1227344,1455442,745566,372166,126701,861002,2505790,2008988,1694212,204232,1404569,254050
"1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T22",7767,320,562264,129013,733124,3329,106045,29698,49103,23005,153144,44294,269036,7739,146259,33635,26022,733748,16058,58444,227873,190174,91722,232361,330137,254237,70556,3143,19254,113662,471137,83692,310361,38974,117408,24734
"1.01.02","1.01.02 - Aplicações Financeiras","4T22",160338,7968,227162,2727728,454248,23278,0,940353,719574,437470,182322,32,656655,685,0,395263,0,0,336366,0,0,63903,7450,0,106046,85794,0,4765,0,87346,0,590549,0,0,0,2973
"1.01.03","1.01.03 - Contas a Receber","4T22",170316,1167,681536,2150674,363372,19690,208488,936301,322498,679546,457848,99487,897591,105337,172679,293805,37524,2642274,1491811,100995,423814,315908,190704,157782,329872,274341,309071,79549,41537,99765,546046,549895,437197,66107,330419,38450
"1.01.05","1.01.05 - Outros Ativos Circulantes","4T22",329169,2674,57567,338159,266224,442,298148,142426,36896,290252,76965,10867,268436,59080,770080,6516,2691,2343627,0,2936,17009,102970,13015,59692,41423,841070,91686,15490,17951,56122,182948,153579,6649,16962,49194,15566
"1.02","1.02 - Ativo Não Circulante","4T22",1078874,91971,734909,7393144,3712312,1089571,339175,1598072,3195973,1517392,2191256,706922,7064028,167453,557799,411469,111230,12297857,456886,74681,567408,1754491,244290,119265,459201,166192,1466207,301530,281948,746826,1502657,2119366,880838,162539,245125,213873
"1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T22",544413,90986,609380,4803092,3407532,1089571,303669,1543505,2604613,816747,1442952,519609,1514321,129155,415147,357224,6006,7050856,431611,71664,523799,1412574,213334,87036,379183,146445,1365339,275368,279870,219288,784595,1855581,679641,151217,208332,32988
"1.02.01.04","1.02.01.02 - Contas a Receber","4T22",254955,5445,497726,558334,321942,7276,143671,677866,760990,68333,319229,205310,507084,15091,161199,101226,2819,1522830,431105,59122,199254,405508,32675,44265,276169,114318,823194,34909,39842,65749,71093,474817,112797,275,106911,32593
"1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T22",289458,4586,37485,219374,67469,5574,159057,29826,185262,298654,72008,2357,37375,6901,253948,5889,2960,809312,0,2276,14857,463561,101377,37639,1634,31575,19426,45644,0,1286,37089,31129,24829,19187,4714,46
"1.02.02","1.02.02 - Investimentos","4T22",23836,0,102598,2245704,143717,0,644,37283,538650,483227,652126,168671,3931142,16910,119185,50600,104041,4287529,12422,0,3131,306645,28039,15580,28074,1534,76113,24662,0,505589,471980,33330,101544,8401,14147,174132
"1.02.03","1.02.03 - Imobilizado","4T22",10109,836,22931,129357,140115,0,32946,17009,50920,27178,94218,18598,1490427,2347,14618,2954,138,778390,12604,3017,28280,32621,2045,13531,42624,14233,18076,280,2078,11478,41047,187878,96500,2755,22535,6749
"1.02.04","1.02.04 - Intangível","4T22",500516,149,0,214991,20948,0,1916,275,1790,190240,1960,44,128138,19041,8849,691,1045,181082,249,0,12198,2651,872,3118,9320,3980,6679,1220,0,10471,205035,42577,3153,166,111,4
"2","2 - Passivo Total","4T22",1746464,109066,2798431,16560139,6489415,1254384,951856,6698124,5533594,5486674,5197531,1080787,10321737,1133288,1646817,1928664,227220,22601329,2301121,345106,2061151,2819254,1174676,735591,1686545,1621634,2211773,673696,408649,1607828,4008447,4128354,2575050,366771,1649694,467923
"2.01","2.01 - Passivo Circulante","4T22",1203615,10116,1067486,3701862,918216,102446,266113,2056378,475669,1886426,990136,425709,774310,1151341,341371,334718,70392,5063732,601828,79131,526628,382836,3413650,164797,446966,423466,471291,1426360,90634,236788,615718,1480765,423997,399038,370229,195290
