"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"2.01.01","2.01.01 - Obrigações Sociais e Trabalhistas","4T22",67989,0,18487,173528,39233,840,13914,0,9796,7714,10569,9411,0,2599,5622,7801,4675,178099,0,160,19802,25714,9608,0,12032,25029,20116,752,1134,22328,41613,92498,6902,6096,3228,2873
"2.01.02","2.01.02 - Fornecedores","4T22",46381,1547,114591,247729,122694,12339,31362,111750,54530,3810,30382,90032,0,66418,25682,19550,11724,895087,27915,5167,51125,66202,247999,65087,60919,190265,51019,40808,17529,11763,54550,136164,42689,12237,56820,6376
"2.01.04","2.01.04 - Empréstimos e Financiamentos","4T22",405208,0,120906,1518586,321046,21606,103501,132711,63468,743094,644290,146000,135298,563303,172726,903,39390,1148232,46358,0,183772,17724,1278666,40350,98369,118476,218629,591215,45204,51199,35722,597353,174142,270520,78364,108298
"2.01.05","2.01.05 - Outras Obrigações","4T22",684037,8518,784809,1659451,406553,65036,96550,1811917,310462,1058561,298971,154962,639012,455828,126877,295385,14436,2696490,506301,71579,257363,253864,1839980,59360,248953,68788,176023,793585,11693,142070,462377,624628,196475,81169,226694,76368
"2.02","2.02 - Passivo Não Circulante","4T22",935313,6047,853197,5158946,4121504,106797,189994,1914322,518981,1827342,2082578,516691,4387754,759936,507236,337889,133177,10963289,404080,84258,530490,1258392,2651694,181979,701883,789186,1079284,355799,257035,749018,819515,1929977,842577,149346,998310,184948
"2.02.01","2.02.01 - Empréstimos e Financiamentos","4T22",619469,0,360082,3360423,1099925,104041,91347,645789,464058,1247043,1171660,93988,2926212,43249,171167,43715,58925,6280944,118641,0,315230,107684,0,152657,361952,414330,431630,58,69780,597367,479997,884437,729974,612,730165,40264
"2.02.02","2.02.02 - Outras Obrigações","4T22",315844,6047,493115,1798523,3021579,2756,98647,1268533,54923,580299,910918,422703,1461542,716687,336069,294174,74252,4682345,285439,84258,215260,1150708,2651694,29322,339931,374856,647654,355741,187255,151651,339518,1045540,112603,148734,268145,144684
"2.03","2.03 - Patrimônio Líquido","4T22",-392464,92903,877748,7699331,1449695,1045141,495749,2727424,4538944,1772906,2124817,138387,5159673,-777989,798210,1256057,23651,6574308,1295213,181717,1004033,1178026,-4890668,388815,537696,408982,661198,-1108463,60980,622022,2573214,717612,1308476,-181613,281155,87685
"2.03.01","2.03.01 - Capital Social Realizado","4T22",1581004,122649,291054,3395744,752982,1033440,275500,1657409,2888997,1252959,1310225,87196,1865950,2103387,660854,1133581,13153,4615408,1109029,15000,959493,1297937,5703542,265008,269172,168231,512438,2654090,1000,1868316,331182,1095511,866080,2482665,75348,40729
"2.03.02","2.03.02 - Reservas de Capital","4T22",1054957,0,5388,-72755,170454,0,0,1480,-56298,232013,-61973,0,0,0,-3017,-44593,0,88734,-22746,0,0,25433,1236743,0,259,-30787,-15876,20953,0,-41038,1919551,-53388,-11956,-83099,-3655,6000
"2.03.05","2.03.05 - Lucros/Prejuízos Acumulados","4T22",-3031548,-29941,0,0,0,0,0,253935,0,287136,0,51191,0,-2784521,0,0,0,0,0,0,0,-238492,-11752772,0,0,0,0,-3783143,0,-1237340,0,0,0,-2581179,0,0
"2.03.09","2.03.09 - Participação dos Acionistas Não Controladores","4T22",3123,168,126011,577587,159714,0,41216,814600,69297,798,752667,0,266565,-95844,59998,84366,0,746865,89112,0,9512,-3713,-64455,0,169911,-1254,21210,-363,9842,32084,5081,5338,46914,0,187055,45067
"1.01.04","1.01.04 - Estoques","4T22",0,4966,534993,3821421,960135,118074,0,3051274,1209550,2539009,2135996,219185,1165991,792994,0,787976,49753,4583823,0,108050,825047,391808,627495,166491,419866,0,274253,269219,47959,504107,1305659,631273,940005,82189,907548,172327
"1.02.01.05","1.02.01.03 - Estoques","4T22",0,80955,69096,1731437,3018121,1076721,0,716092,1641471,378105,993325,291000,940554,106072,0,108677,227,4644619,0,0,294952,543505,79282,5132,90676,0,512570,184066,232923,86710,631575,1319659,506530,128485,0,0
"2.01.03","2.01.03 - Obrigações Fiscais","4T22",0,51,28693,102568,28690,2625,20786,0,37413,73247,5924,25304,0,63193,10464,11079,167,145824,21254,2225,14566,19332,37397,0,26693,20908,5504,0,15074,9428,21456,30122,3789,29016,5123,1375
"2.03.08","2.03.08 - Outros Resultados Abrangentes","4T22",0,27,0,409530,0,0,0,0,0,0,0,0,0,-1011,0,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T22",0,0,5073,534936,0,0,941,113722,16890,0,58390,20942,29308,991,0,30816,0,74095,236,10266,14736,0,0,0,8040,0,5947,10749,7105,61416,44838,29976,35485,3270,96707,349
"2.03.04","2.03.04 - Reservas de Lucros","4T22",0,0,455295,3389225,398425,11701,179033,0,1636948,0,117655,0,3027158,0,80375,80223,10498,1147993,119818,166717,35028,0,-13726,123807,98354,272792,143426,0,50138,0,317400,-329849,407438,0,22407,-4111
"1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T22",0,0,0,1759011,0,0,0,5999,0,71655,0,0,0,100,0,110616,0,0,270,0,0,0,0,0,2664,552,4202,0,0,4127,0,0,0,0,0,0
"2.03.06","2.03.06 - Ajustes de Avaliação Patrimonial","4T22",0,0,0,0,-31880,0,0,0,0,0,6243,0,0,0,0,0,0,-24692,0,0,0,96861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
