"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"1","1 - Ativo Total","3T23",1345601,98508,3150612,17023249,7189702,1351880,855714,7052266,5838676,5268073,5747100,1081556,10755819,1088816,1996708,2198322,201749,24086834,2434826,516050,2171092,3248945,1050231,889923,1942350,1983031,2344012,626149,499093,1550292,4452437,4561617,2695849,304597,1878732,495226
"1.01","1.01 - Ativo Circulante","3T23",358362,8313,2316220,8804034,3359245,237627,587900,5447257,2609601,3656214,3386258,414884,3057734,857498,1342327,1572605,55998,10713263,1979954,274224,1802561,1173461,808201,722816,1305120,1699007,669534,330473,167538,799938,2927278,2153626,2028173,146662,1653751,256015
"1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","3T23",1942,1169,730072,256623,813714,3233,143430,14625,51500,5997,113716,31321,321243,28852,137797,17891,15977,740097,5582,92756,98188,174630,64198,325953,231243,201091,57475,3922,22899,143418,359049,64165,252507,25028,120774,10366
"1.01.02","1.01.02 - Aplicações Financeiras","3T23",132821,2814,379003,2395406,527447,18604,0,938359,736454,263834,154516,47,194361,1534,0,475217,0,0,441263,0,0,88457,8852,0,120131,145072,0,13515,0,25120,0,683993,0,0,0,4835
"1.01.03","1.01.03 - Contas a Receber","3T23",63295,1697,489221,2569020,407922,10604,165307,1349790,268262,683988,694256,136874,769074,51677,350366,444018,17589,2734968,1533109,94987,644322,358395,144482,200617,403941,407503,336255,56960,58849,172452,493648,628119,687110,31811,434478,59118
"1.01.05","1.01.05 - Outros Ativos Circulantes","3T23",160304,965,91233,418620,291234,1009,279163,101037,32667,322986,123915,13889,316436,52721,854164,12699,4006,2573866,0,6467,51867,133916,8432,51379,51583,945341,70265,12820,18487,42512,146933,237416,8563,13063,31279,15992
"1.02","1.02 - Ativo Não Circulante","3T23",987239,90195,834392,8219215,3830457,1114253,267814,1605009,3229075,1611859,2360842,666672,7698085,231318,654381,625717,145751,13373571,454872,241826,368531,2075484,242030,167107,637230,284024,1674478,295676,331555,750354,1525159,2407991,667676,157935,224981,239211
"1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","3T23",454116,89287,703334,5513953,3514700,1114253,224545,1526047,2646774,952179,1655276,487445,1793085,194733,497352,521113,13347,7598827,423061,238048,307957,1723855,211272,141650,548188,263136,1571044,264412,329357,262559,830776,2145770,418851,145217,199603,34394
"1.02.01.04","1.02.01.02 - Contas a Receber","3T23",90597,2150,591170,629874,420381,6092,137456,627916,900646,91803,326438,236789,518820,52249,230620,125900,10633,2203547,421614,237355,173934,602476,21833,39521,465047,150657,944598,32846,56254,97115,44340,668444,150345,24,101807,31572
"1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","3T23",363519,4153,40775,197387,122774,13151,86148,54590,204407,378402,111705,1787,105595,54412,266732,12453,2487,1471332,0,693,37530,577551,108228,21734,963,98427,16005,43899,0,7292,35868,30252,14018,19964,2318,2473
"1.02.02","1.02.02 - Investimentos","3T23",23932,0,97780,2366756,171047,0,644,58239,541280,449346,619180,162094,4250567,15756,132175,93085,131249,4734951,19894,0,3207,295892,28432,4090,23751,1193,77927,30644,0,463300,450944,44316,156919,10054,5074,197604
"1.02.03","1.02.03 - Imobilizado","3T23",9011,783,33278,148904,113832,0,40743,20563,39422,20501,84151,17097,1520141,1767,15198,10914,1026,858494,11757,3778,34376,52959,1638,21367,57110,12310,19196,135,2198,12682,38343,180564,87799,2530,20247,7213
"1.02.04","1.02.04 - Intangível","3T23",500180,125,0,189602,30878,0,1882,160,1599,189833,2235,36,134292,19062,9656,605,129,181299,160,0,22991,2778,688,0,8181,7385,6311,485,0,11813,205096,37341,4107,134,57,0
"2","2 - Passivo Total","3T23",1345601,98508,3150612,17023249,7189702,1351880,855714,7052266,5838676,5268073,5747100,1081556,10755819,1088816,1996708,2198322,201749,24086834,2434826,516050,2171092,3248945,1050231,889923,1942350,1983031,2344012,626149,499093,1550292,4452437,4561617,2695849,304597,1878732,495226
"2.01","2.01 - Passivo Circulante","3T23",1288616,11459,990737,3002368,942553,45549,285923,1550141,503128,1800199,1119202,501079,1071565,1103594,396810,457222,33143,5371878,643319,256048,680409,435881,3748911,295768,716066,573428,432932,1519868,109221,269256,500655,1642616,719184,140524,535367,198172
"2.01.01","2.01.01 - Obrigações Sociais e Trabalhistas","3T23",56931,300,29799,187533,55581,867,16235,0,12097,10215,12324,13914,0,3363,10600,10144,5557,228888,0,429,20440,35208,10463,0,22498,28415,13186,896,3241,17482,35627,106953,7864,5189,4098,2929
"2.01.02","2.01.02 - Fornecedores","3T23",43692,2904,144821,259794,129480,5439,28690,150645,53905,29968,49973,96322,0,66505,60747,22058,6527,687753,52793,34693,58894,73550,263649,108668,92148,240202,43176,40745,35174,20704,63863,157283,49923,8962,59904,13130
"2.01.04","2.01.04 - Empréstimos e Financiamentos","3T23",610730,167,134940,1098553,330084,0,101819,135311,196472,804432,664006,139848,352671,511004,155675,35639,11963,1363024,54640,0,292532,32397,1444629,117667,250622,151261,191627,631914,24026,125250,22425,504655,458861,19153,147984,104828
