"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"2.01.05","2.01.05 - Outras Obrigações","3T23",577263,7969,651102,1349793,397175,37734,120294,1264185,208374,888892,386523,183480,718894,447991,151344,371639,8922,2892670,513564,218445,286263,276629,1994869,69433,325366,121011,179837,846313,23004,94904,359554,841735,197407,77650,318956,75420
"2.02","2.02 - Passivo Não Circulante","3T23",686730,4222,1103711,5480937,4153638,216179,54610,2709558,671173,1778896,2335569,411697,4292002,765179,686483,409725,136483,11117638,530427,119518,480591,1509996,2751150,116604,670472,770635,1310031,356357,316413,695469,1265624,2019269,602235,144086,1062076,191558
"2.02.01","2.02.01 - Empréstimos e Financiamentos","3T23",542344,233,510779,3827463,986779,213330,2366,999770,609995,1158262,1274013,135924,2724062,99456,321100,148400,42342,6334038,227598,0,327707,209472,0,76349,398119,313779,615512,0,120139,585283,630175,759378,555595,290,803829,35892
"2.02.02","2.02.02 - Outras Obrigações","3T23",144386,3989,592932,1653474,3166859,2849,52244,1709788,61178,620634,1061556,275773,1567940,665723,365383,261325,94141,4783600,302829,119518,152884,1300524,2751150,40255,272353,456856,694519,356357,196274,110186,635449,1259891,46640,143796,258247,155666
"2.03","2.03 - Patrimônio Líquido","3T23",-629745,82827,1056164,8539944,2093511,1090152,515181,2792567,4664375,1688978,2292329,168780,5392252,-779957,913415,1331375,32123,7597318,1261080,140484,1010092,1303068,-5449830,477551,555812,638968,601049,-1250076,73459,585567,2686158,899732,1374430,19987,281289,105496
"2.03.01","2.03.01 - Capital Social Realizado","3T23",1760787,122649,291054,3395744,1161091,1033440,275500,1657409,2888997,1416122,1310225,87196,1865950,2103387,725112,1133581,13153,5616600,1109029,15000,959493,1301890,5703542,265008,269172,175228,512438,2654090,32428,1868316,531182,1320145,866080,2763010,75348,41975
"2.03.02","2.03.02 - Reservas de Capital","3T23",1056873,0,5388,-72755,174769,50000,0,141,-56298,198328,-61973,0,0,0,-3017,-44593,0,53296,-8012,0,0,24490,1236743,17872,259,-26181,-15876,20953,0,-40283,1919551,18384,-11956,-83099,-2975,26000
"2.03.05","2.03.05 - Lucros/Prejuízos Acumulados","3T23",-3454078,-39822,0,694280,231954,-4989,0,158823,0,73462,22176,81584,0,-2786287,0,0,8472,75148,16718,122484,0,-112484,-12318378,87737,0,0,-57620,-3923376,0,-1236604,36224,-76202,0,-2659924,0,0
"2.03.09","2.03.09 - Participação dos Acionistas Não Controladores","3T23",6673,-27,132985,757588,159045,0,64481,854599,65980,1066,898003,0,351747,-96046,65657,70142,0,734719,89142,0,33246,-3801,-69236,0,155085,41647,19695,-1743,10198,-5862,37602,4442,42289,0,165799,42882
"1.01.04","1.01.04 - Estoques","3T23",0,1668,626691,3164365,1318928,204177,0,3043446,1520718,2379409,2299855,232753,1456620,722714,0,622780,18426,4664332,0,80014,1008184,418063,582237,144867,498222,0,205539,243256,67303,416436,1927648,539933,1079993,76760,1067220,165704
"1.02.01.05","1.02.01.03 - Estoques","3T23",0,82984,62334,2250176,2971545,1095010,0,680798,1497427,385448,1115217,223353,1123106,86984,0,346002,227,3839911,0,0,78395,543828,81211,80395,50121,0,597669,184066,266663,96365,724802,1416872,227112,124011,0,0
"2.01.03","2.01.03 - Obrigações Fiscais","3T23",0,119,30075,106695,30233,1509,18885,0,32280,66692,6376,67515,0,74731,18444,17742,174,199543,22322,2481,22280,18097,35301,0,25432,32539,5106,0,23776,10916,19186,31990,5129,29570,4425,1865
"2.03.08","2.03.08 - Outros Resultados Abrangentes","3T23",0,27,0,386514,0,0,0,0,0,0,0,0,0,-1011,0,6216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","3T23",0,0,9055,534748,0,0,941,161721,44294,0,101916,25516,45564,991,0,30542,0,84037,425,0,18098,0,0,0,29230,13500,5643,3601,6440,56946,25766,30202,27376,1218,95478,349
"2.03.04","2.03.04 - Reservas de Lucros","3T23",0,0,626737,3378573,398412,11701,175200,121595,1765696,0,117655,0,3174555,0,125663,166029,10498,1135319,54203,3000,17353,0,-2501,106934,131296,448274,142412,0,30833,0,161599,-367037,478017,0,43117,-5361
"1.02.01.01","1.02.01.01 - Aplicações Financeiras","3T23",0,0,0,1901768,0,0,0,1022,0,96526,0,0,0,97,0,6216,0,0,1022,0,0,0,0,0,2827,552,7129,0,0,4841,0,0,0,0,0,0
"2.03.06","2.03.06 - Ajustes de Avaliação Patrimonial","3T23",0,0,0,0,-31760,0,0,0,0,0,6243,0,0,0,0,0,0,-17764,0,0,0,92973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
