"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.01.03","3.01.03 - Impostos Sobre Vendas De Imóveis E Serviços","2020",0,0,0,0,0,0,0,0,0,-50968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo De Incorporação E Venda De Imóveis","2020",0,0,0,0,0,0,0,0,0,-702824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Vendas de Imóveis","2020",0,0,0,0,0,0,0,0,0,0,983249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Ajuste a Valor Presente","2020",0,0,0,0,0,0,0,0,0,0,-5099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Taxa de Administração","2020",0,0,0,0,0,0,0,0,0,0,13701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.05","3.01.05 - Impostos s/ Vendas","2020",0,0,0,0,0,0,0,0,0,0,-21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.06","3.01.06 - Aluguel de imóveis próprios","2020",0,0,0,0,0,0,0,0,0,0,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita com venda de Imóveis","2020",0,0,0,0,0,0,0,0,0,0,0,0,877552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita com Shoppings centers e locações comerciais","2020",0,0,0,0,0,0,0,0,0,0,0,0,153833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Receita com Hotéis e Restaurantes","2020",0,0,0,0,0,0,0,0,0,0,0,0,119092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Receita com operações aeroportuárias","2020",0,0,0,0,0,0,0,0,0,0,0,0,20073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Com vendas de Imóveis","2020",0,0,0,0,0,0,0,0,0,0,0,0,-173333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.02","3.02.02 - Com shoppings centers e locações comerciais","2020",0,0,0,0,0,0,0,0,0,0,0,0,-50306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.03","3.02.03 - Com Hotéis e Restaurantes","2020",0,0,0,0,0,0,0,0,0,0,0,0,-121255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.04","3.02.04 - Custos com operações aeroportuárias","2020",0,0,0,0,0,0,0,0,0,0,0,0,-15227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Operacional Líquida","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6646359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos e dos Serviços Prestados","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4772021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Líquida da venda de Imóveis","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita liquida de incorporação imobiliária","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682889,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação imobiliária","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-497430,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita líquida dos empreendimentos vendidos","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316765,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos empreendimentos vendidos","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-249893,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Bruta de Vendas","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148959,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita de prestação de serviços","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31688,0,0,0,0,0,0
"3.02.01","3.02.01 - Deduções da Receita Bruta","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6476,0,0,0,0,0,0
"3.02.02","3.02.02 - Custo dos imóveis vendidos","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175657,0,0,0,0,0,0
"3.02.03","3.02.03 - Custo dos serviços prestados","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14674,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita operacional líquida","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499169,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação e vendas imobiliárias","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-318932,0,0,0,0,0
"3.02.02","3.02.02 - Outros custos","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10673,0,0,0,0,0
