"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"1","1 - Ativo Total","1T23",1743290,107496,2733836,16321140,6482026,1284438,963535,6731478,5601273,5372512,5211254,1084681,10474756,1168020,1728844,1964512,210622,22739681,2317161,823346,2092133,2920783,1131726,750961,1706176,1680786,2247567,669300,424199,1564420,4009710,8353716,2602797,347287,1726189,468737
"1.01","1.01 - Ativo Circulante","1T23",672625,13665,2136273,8629089,2979504,163082,643485,5174866,2491298,3780717,3158399,503472,3298423,955137,1124395,1611314,98069,10052050,1910306,675606,1684828,1119825,893842,634062,1281554,1508669,732531,371452,108918,892586,2284422,3569408,1904592,188475,1465497,238749
"1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","1T23",5148,209,470159,237859,605952,1477,144708,21920,36971,15090,107036,35828,313792,12216,87585,33442,22745,988881,17041,146526,232311,206193,82600,255681,259116,191666,51005,3377,6509,168018,387484,136290,277433,40498,116952,10536
"1.01.02","1.01.02 - Aplicações Financeiras","1T23",143324,6379,259664,2556506,465975,18597,0,900091,752458,409968,160210,46,560318,1174,0,474728,0,0,351103,0,0,58241,8339,0,97421,72109,0,5038,0,22250,0,1070996,0,0,0,1591
"1.01.03","1.01.03 - Contas a Receber","1T23",183860,1628,677724,2121430,403427,16684,205553,1215161,302638,714668,540324,137076,832610,125228,265950,318052,35946,2675555,610282,325978,559400,360676,176759,159406,398465,375625,317813,65257,47180,129269,491873,1209238,532180,56573,320828,26487
"1.01.05","1.01.05 - Outros Ativos Circulantes","1T23",340293,962,65322,373332,298042,524,293224,108171,36431,295555,82172,12497,316807,55050,770860,4240,2598,1809167,0,8346,22507,116652,6998,59360,42223,869269,77346,13251,14324,56402,99675,344264,7319,18347,79167,15923
"1.02","1.02 - Ativo Não Circulante","1T23",1070665,93831,597563,7692051,3502522,1121356,320050,1556612,3109975,1591795,2052855,581209,7176333,212883,604449,353198,112553,12687631,406855,147740,407305,1800958,237884,116899,424622,172117,1515036,297848,315281,671834,1725288,4784308,698205,158812,260692,229988
"1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","1T23",542732,92779,465621,5053191,3207918,1121356,285750,1500275,2517658,902450,1294913,371323,1441134,175065,465720,263367,7825,7651793,379649,141960,364770,1461763,206088,87753,344658,154559,1411901,271343,312743,188659,996423,4247748,465583,146877,232128,35946
"1.02.01.04","1.02.01.02 - Contas a Receber","1T23",250382,4570,372912,544623,334609,6950,157523,526737,774622,86889,293114,154381,418104,13107,168648,122533,3950,1709682,286485,118246,126996,418926,27767,45383,268842,106237,908049,33253,53760,68897,76983,1006832,143956,200,131908,35597
"1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","1T23",292350,6325,38625,219018,95449,8823,127286,74621,186309,356746,72734,1967,38214,54412,297072,11307,3102,1631216,0,1826,15307,500864,99039,38714,3732,47770,17435,44424,0,4733,87419,61200,721,18765,3165,0
"1.02.02","1.02.02 - Investimentos","1T23",17728,0,100841,2297205,133771,0,644,36458,543256,475717,666730,191729,4088298,16633,116737,81691,103497,4052037,14330,0,3021,303610,29053,12746,28137,1534,78534,25329,594,458292,486314,67458,136903,8958,6396,181671
"1.02.03","1.02.03 - Imobilizado","1T23",9820,908,31101,137278,136225,0,31359,19671,47271,23626,88985,18116,1516595,2132,13992,7470,1069,803989,12654,5780,27298,32827,1932,16400,42976,11333,18115,231,1944,11889,37490,383336,92148,2842,22088,12371
"1.02.04","1.02.04 - Intangível","1T23",500385,144,0,204377,24608,0,2297,208,1790,190002,2227,41,130306,19053,8000,670,162,179812,222,0,12216,2758,811,0,8851,4691,6486,945,0,12994,205061,85766,3571,135,80,0
"2","2 - Passivo Total","1T23",1743290,107496,2733836,16321140,6482026,1284438,963535,6731478,5601273,5372512,5211254,1084681,10474756,1168020,1728844,1964512,210622,22739681,2317161,823346,2092133,2920783,1131726,750961,1706176,1680786,2247567,669300,424199,1564420,4009710,8353716,2602797,347287,1726189,468737
"2.01","2.01 - Passivo Circulante","1T23",1293378,2723,770084,3259107,869165,107734,261954,1894147,454575,1801342,1006338,441471,872571,1090172,381612,351249,56866,5598407,495455,205536,613464,387689,3532422,194980,605374,493483,476279,1472600,158837,237879,524822,3174164,513273,159910,299637,191011
"2.01.01","2.01.01 - Obrigações Sociais e Trabalhistas","1T23",74920,0,22653,161414,46975,778,15369,0,11921,7771,13478,11736,0,3041,6809,6525,4848,172160,0,396,21682,31372,10659,0,16198,23059,20807,731,1245,19941,20485,226386,5582,6149,3078,4197
"2.01.02","2.01.02 - Fornecedores","1T23",38330,1886,121055,261172,93859,11251,26138,115360,64087,41717,47959,93874,0,67994,34525,30626,7851,792333,30945,57084,35996,60763,253598,76351,78052,211085,49246,40603,23620,12665,71490,276606,58766,9531,53404,11879
"2.01.04","2.01.04 - Empréstimos e Financiamentos","1T23",468067,0,114117,1184986,323614,22810,98516,80888,86289,692657,659341,144363,242489,492164,175504,1263,30689,2003642,33162,0,220632,9873,1333101,59870,192868,109440,211087,614296,96212,77124,13756,1231026,239097,37389,53466,94110
"2.01.05","2.01.05 - Outras Obrigações","1T23",712061,762,480737,1543191,374677,70581,99946,1697899,255868,990022,279406,148128,630082,451781,150406,300759,13309,2497897,410124,142636,316381,265283,1900035,58759,298409,125382,189550,816970,21214,117224,399941,1396036,205719,78868,184678,80193
"2.02","2.02 - Passivo Não Circulante","1T23",898214,13774,994099,5191128,4101870,134008,188730,2044715,578963,1787907,2029158,494056,4346159,815706,533423,364806,125996,10435628,500935,189000,479272,1325386,2690772,154482,558532,734505,1108609,355173,203287,700102,847220,3826058,748435,154064,1152860,194787
"2.02.01","2.02.01 - Empréstimos e Financiamentos","1T23",594466,0,360400,3485780,1089220,131243,91610,732043,522775,1216930,1159759,114359,2828487,120476,176405,43429,50130,5757740,152633,0,304204,137153,0,126152,266956,382024,480489,14,11562,581808,542972,1491320,698682,495,847580,44944
"2.02.02","2.02.02 - Outras Obrigações","1T23",303748,13774,633699,1705348,3012650,2765,97120,1312672,56188,570977,869399,379697,1517672,695230,357018,321377,75866,4677888,348302,189000,175068,1188233,2690772,28330,291576,352481,628120,355159,191725,118294,304248,2334738,49753,153569,305280,149843
"2.03","2.03 - Patrimônio Líquido","1T23",-448302,90999,969653,7870905,1510991,1042696,512851,2792616,4567735,1783263,2175758,149154,5256026,-737858,813809,1248457,27760,6705646,1320771,428810,999397,1207708,-5091468,401499,542270,452798,662679,-1158473,62075,626439,2637668,1353494,1341089,33313,273692,82939
"2.03.01","2.03.01 - Capital Social Realizado","1T23",1581004,122649,291054,3395744,752982,1033440,275500,1657409,2888997,1331038,1310225,87196,1865950,2103387,660854,1133581,13153,4615807,1109029,30000,959493,1296937,5703542,265008,269172,168231,512438,2654090,1000,1868316,531182,2191022,866080,2723788,75348,40729
"2.03.02","2.03.02 - Reservas de Capital","1T23",1055595,0,5388,-72755,172011,0,0,-4913,-56298,198314,-61973,0,0,0,-3017,-44593,0,92117,-11249,0,0,25700,1236743,0,259,-30226,-15876,20953,0,-41038,1919551,-101260,-11956,-83099,-3655,11000
"2.03.05","2.03.05 - Lucros/Prejuízos Acumulados","1T23",-3089168,-31839,0,0,58754,0,0,308662,0,253115,6573,61958,0,-2744410,11839,0,4109,30577,0,65376,18862,-207813,-11961742,11803,0,0,778,-3831990,0,-1233194,18772,-743502,0,-2607376,0,0
"2.03.09","2.03.09 - Participação dos Acionistas Não Controladores","1T23",4267,162,126067,648622,160701,0,48568,831458,55863,796,797035,0,267434,-95824,63758,83973,0,856933,92368,0,9330,-3977,-66428,0,163281,1235,21913,-1526,9857,32355,6564,7234,51818,0,177927,42044
"1.01.04","1.01.04 - Estoques","1T23",0,4487,663404,3339962,1206108,125800,0,2929523,1362800,2345436,2268657,318025,1274896,761469,0,780852,36780,4578447,931880,194756,870610,378063,619146,159615,484329,0,286367,284529,40905,516647,1305390,808620,1087660,73057,948550,184212
"1.02.01.05","1.02.01.03 - Estoques","1T23",0,81884,49094,2176134,2777860,1105583,0,784671,1535346,383797,874334,195732,954031,106454,0,93328,227,4225270,92260,0,206129,541973,79282,3656,63096,0,474403,184066,252188,46386,785580,3119658,278571,127707,0,0
"2.01.03","2.01.03 - Obrigações Fiscais","1T23",0,75,31522,108344,30040,2314,21985,0,36410,69175,6154,43370,0,75192,14368,12076,169,132375,21224,5420,18773,20398,35029,0,19847,24517,5589,0,16546,10925,19150,44110,4109,27973,5011,632
"2.03.08","2.03.08 - Outros Resultados Abrangentes","1T23",0,27,0,357145,0,0,0,0,0,0,0,0,0,-1011,0,4664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
