"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.01","3.01 - Receita de Venda de Bens e/ou Serviços","2022",265134,4081,2257294,5412295,2162616,35361,832356,2317936,1121260,1135997,906437,472817,1902092,6597,652603,555327,149193,6645285,1029568,406766,758626,799527,119318,859857,829418,1492205,667091,-37403,164723,237347,1497439,2412586,760270,121982,880076,128890
"3.02","3.02 - Custo dos Bens e/ou Serviços Vendidos","2022",-229646,-3540,-1420402,-3678333,-1428891,-8196,-641309,-1795451,-737031,-982930,-653507,-364759,-767437,-15316,-456046,-368988,-114077,-5327731,-794633,-231249,-537194,-533059,-87931,-668459,-619844,-1062284,-501394,542,-111210,-209523,-1019037,-2137896,-535028,-83091,-629848,-99076
"3.02.01","3.02.01 - Desenvolvimento e venda de lotes","2022",-229646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.03","3.03 - Resultado Bruto","2022",35488,541,836892,1733962,733725,27165,191047,522485,384229,153067,252930,108058,1134655,-8719,196557,186339,35116,1317554,234935,175517,221432,266468,31387,191398,209574,429921,165697,-36861,53513,27824,478402,274690,225242,38891,250228,29814
"3.04","3.04 - Despesas/Receitas Operacionais","2022",-219043,-9721,-407451,-820673,-358312,-21402,-119807,-396924,-144483,-284196,-105646,-35209,-242373,-86316,-119604,-99817,-17494,-955172,-162187,-45830,-172120,-178907,-91861,-148748,-126130,-268048,-116211,-325956,-33114,-5153,-318627,-590499,-111136,-84475,-123203,-37819
"3.04.01","3.04.01 - Despesas com Vendas","2022",-37969,0,-212188,-514969,-203082,-2390,-53253,-153259,-97068,-55397,-87607,-48855,0,-6454,-62116,-63952,0,-661701,-82328,-27099,-67108,-75589,-41757,-53845,-68519,0,-74603,-7963,-12906,-29557,-145507,-241287,-59107,-6566,-65734,0
"3.04.02","3.04.02 - Despesas Gerais e Administrativas","2022",-72195,-9440,-136568,-554805,-151631,-19133,-68071,-167953,-134051,-117674,-101303,-29968,-336210,-44214,-80094,-32544,-21897,-610568,-54145,-18731,-105899,-74642,-59134,-77289,-51795,-89122,-54101,-23707,-20085,-64413,-162322,-208450,-72697,-41256,-54366,-30759
"3.04.04","3.04.04 - Outras Receitas Operacionais","2022",-6158,278,2756,325209,205274,0,1517,0,9560,0,45292,0,0,17104,-6590,0,-2051,666874,-4689,0,0,0,0,0,0,0,4490,0,0,0,0,0,0,0,-8495,-14374
"3.04.05","3.04.05 - Outras Despesas Operacionais","2022",-103740,-553,-61830,-293193,-230631,121,0,-72502,-9944,-99043,0,43614,91185,-51386,-2502,-2002,0,-239937,-20461,0,945,-29191,8273,-17223,-1851,-178462,0,-289282,-123,60042,-55395,-133381,2527,-36584,-830,-21925
"3.04.06","3.04.06 - Resultado de Equivalência Patrimonial","2022",1019,0,379,217085,21758,0,0,-3210,87020,-12082,37972,0,2652,-1366,31698,-1319,6454,-109840,-564,0,-58,515,757,-391,-3965,-464,8003,-5004,0,28775,44597,-7381,18141,-69,6222,29239
