"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.05","3.05 - Resultado Antes do Resultado Financeiro e dos Tributos","2022",-183555,-9180,429441,913289,375413,5763,71240,125561,239746,-131129,147284,72849,892282,-95035,76953,86522,17622,362382,72748,129687,49312,87561,-60474,42650,83444,161873,49486,-362817,20399,22671,159775,-315809,114106,-45584,127025,-8005
"3.06","3.06 - Resultado Financeiro","2022",-219565,1875,-24437,68327,-73878,6102,-11671,127486,138151,69896,-20864,-2686,-179489,-32118,-12199,67704,-9046,-236789,76003,1391,5849,39895,-362286,8178,8539,4448,948,-88244,-14175,-12996,60849,-195272,-22606,7162,-12486,-17860
"3.06.01","3.06.01 - Receitas Financeiras","2022",12463,1909,64031,572713,195489,6372,15526,170270,175158,210480,59803,16961,205760,9680,0,71041,4223,357337,78899,3176,32259,69923,597268,29731,44652,28812,75517,5936,1931,27587,82544,54509,39087,9924,20635,2390
"3.06.02","3.06.02 - Despesas Financeiras","2022",-232028,-34,-88468,-504386,-269367,-270,-27197,-42784,-37007,-140584,-80667,-19647,-385249,-41798,0,-3337,-13269,-594126,-2896,-1785,-26410,-30028,-959554,-21553,-36113,-24364,-74569,-94180,-16106,-40583,-21695,-249781,-61693,-2762,-33121,-20250
"3.07","3.07 - Resultado Antes dos Tributos sobre o Lucro","2022",-403120,-7305,405004,981616,301535,11865,59569,253047,377897,-61233,126420,70163,712793,-127153,64754,154226,8576,125593,148751,131078,55161,127456,-422760,50828,91983,166321,50434,-451061,6224,9675,220624,-511081,91500,-38422,114539,-25865
"3.08","3.08 - Imposto de Renda e Contribuição Social sobre o Lucro","2022",-7595,-246,-56564,-123025,-45846,-2364,-20033,-56195,-35790,-21959,-18679,-9244,-80699,1017,-18005,-23318,-1576,-249056,-23158,-5822,-17941,-22399,339940,-26639,-19437,-33755,-18746,9017,-3073,-7375,-28142,-44632,-21751,25898,-19549,-757
"3.08.01","3.08.01 - Corrente","2022",-7595,-220,-50756,-121158,-42043,-2305,0,-56540,-35511,-26347,-16599,-6795,-35044,-4204,-16497,-23850,-1848,-318304,-22403,-6367,-15025,-21021,-6300,-25518,-19437,-29985,-14928,-4019,-3073,-6374,-46371,-44638,-19485,-605,-16973,0
"3.09","3.09 - Resultado Líquido das Operações Continuadas","2022",-410715,-7551,348440,858591,255689,9501,39536,196852,342107,-83192,107741,60919,632094,-126136,46749,130908,7000,-123463,125593,125256,37220,105057,-82820,24189,72546,132566,31688,-442044,3151,2300,192482,-555713,69749,-12524,94990,-26622
"3.11","3.11 - Lucro/Prejuízo Consolidado do Período","2022",-410715,-7551,348440,858591,255689,9501,39536,195032,342107,-83192,107741,60919,632094,-126136,46749,130908,7000,-123463,125593,125256,37220,105057,-82820,24189,72546,132566,31688,-442044,3151,2300,192482,-555713,69749,-12524,94990,-26622
"3.11.01","3.11.01 - Atribuído a Sócios da Empresa Controladora","2022",-410971,7507,329885,808880,190020,9501,24531,104384,324707,-83174,51053,60919,618889,-123289,41129,114889,7000,-176648,84378,0,34830,105917,-78438,0,32249,133679,21352,-426506,1805,1045,186103,-547302,67913,-13335,26128,-25027
"3.11.02","3.11.02 - Atribuído a Sócios Não Controladores","2022",256,-44,18555,49711,65669,0,15005,90648,17400,-18,56688,0,13205,-2847,5620,16019,0,53185,41215,0,2390,-860,-4382,0,40297,-1113,10336,-15538,1346,1255,6379,-8411,1836,811,68862,-1595
"3.04.03","3.04.03 - Perdas pela Não Recuperabilidade de Ativos","2022",0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.08.02","3.08.02 - Diferido","2022",0,-26,-5808,-1867,-3803,-59,0,345,-279,4388,-2080,-2449,-45655,5221,-1508,532,272,69248,-755,545,-2916,-1378,346240,-1121,0,-3770,-3818,13036,0,-1001,18229,6,-2266,26503,-2576,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos","2022",0,0,-1415751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-794633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.02","3.02.02 - Custo dos serviços prestados","2022",0,0,-4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.10","3.10 - Resultado Líquido de Operações Descontinuadas","2022",0,0,0,0,0,0,0,-1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.10.01","3.10.01 - Lucro/Prejuízo Líquido das Operações Descontinuadas","2022",0,0,0,0,0,0,0,-1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita de Incorporação de Imóveis","2022",0,0,0,0,0,0,0,0,0,1175010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Impostos Sobre Vendas De Imóveis E Serviços","2022",0,0,0,0,0,0,0,0,0,-39013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo De Incorporação E Venda De Imóveis","2022",0,0,0,0,0,0,0,0,0,-982930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Vendas de Imóveis","2022",0,0,0,0,0,0,0,0,0,0,914646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Ajuste a Valor Presente","2022",0,0,0,0,0,0,0,0,0,0,-7093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Taxa de Administração","2022",0,0,0,0,0,0,0,0,0,0,14366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Aluguel de imóveis próprios","2022",0,0,0,0,0,0,0,0,0,0,2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.06","3.01.06 - Impostos s/ Vendas","2022",0,0,0,0,0,0,0,0,0,0,-17972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Operacional Líquida","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6645285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos e dos Serviços Prestados","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5327731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Líquida da venda de Imóveis","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita líquida com venda de imóveis","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos imóveis vendidos","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-231249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita liquida de incorporação imobiliária","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859857,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação imobiliária","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-668459,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita líquida dos empreendimentos vendidos","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667091,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos empreendimentos vendidos","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-501394,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Bruta de Vendas","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222918,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita de prestação de serviços","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14429,0,0,0,0,0,0
"3.02.01","3.02.01 - Deduções da Receita Bruta","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7400,0,0,0,0,0,0
"3.02.02","3.02.02 - Custo dos imóveis vendidos","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-183894,0,0,0,0,0,0
"3.02.03","3.02.03 - Custo dos serviços prestados","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18229,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita operacional líquida","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497439,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação e vendas imobiliárias","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1019037,0,0,0,0,0
