"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.01","3.01 - Receita de Venda de Bens e/ou Serviços","2021",227901,4904,1738295,4790833,1776380,22133,547477,2275744,957866,818308,948003,453879,2007441,4245,488959,609270,73003,7106201,771819,0,573996,619643,432957,602727,882168,1271260,473400,59416,211276,146363,1472883,2539954,774161,67981,701792,106448
"3.02","3.02 - Custo dos Bens e/ou Serviços Vendidos","2021",-232414,-4024,-1093624,-3125013,-1129274,-5374,-412100,-1643701,-516063,-609678,-697165,-345318,-613475,-65022,-279570,-355550,-47356,-5277356,-586795,0,-378270,-393880,-349693,-449459,-585907,-874491,-355530,-73096,-144592,-138159,-962926,-2088664,-490297,-55376,-470779,-77868
"3.02.01","3.02.01 - Desenvolvimento e venda de lotes","2021",-232414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.03","3.03 - Resultado Bruto","2021",-4513,880,644671,1665820,647106,16759,135377,632043,441803,208630,250838,108561,1393966,-60777,209389,253720,25647,1828845,185024,0,195726,225763,83264,153268,296261,396769,117870,-13680,66684,8204,509957,451290,283864,12605,231013,28580
"3.04","3.04 - Despesas/Receitas Operacionais","2021",-251775,-8488,-268303,-602883,-324241,-20027,-102695,-366894,-132068,1990,-100130,-60545,-280455,-139939,-130114,-77157,-11891,-699735,-124096,0,-155246,-163527,-435777,-118410,-124931,-233009,-98049,-256405,-47461,-136314,-347866,-541720,-125249,-62567,-102744,-37742
"3.04.01","3.04.01 - Despesas com Vendas","2021",-34743,0,-164226,-347846,-190902,-2223,-32475,-142431,-86179,-44195,-85936,-42499,0,-12116,-56348,-56673,0,-642309,-57993,0,-69286,-76698,-59135,-42371,-55392,0,-58667,-17954,-18570,-32425,-124904,-245808,-59779,-6581,-58877,0
"3.04.02","3.04.02 - Despesas Gerais e Administrativas","2021",-78909,-8829,-102464,-501453,-132511,-17893,-72261,-155991,-112993,-123432,-94054,-23359,-258724,-34983,-72114,-25315,-19598,-503390,-47821,0,-80126,-60686,-87618,-68919,-40551,-79600,-43423,-27218,-24051,-64514,-164336,-188112,-73215,-48109,-50829,-24112
"3.04.04","3.04.04 - Outras Receitas Operacionais","2021",-9083,665,40444,79487,241693,0,2041,0,-2549,0,56008,0,0,6648,-30037,0,-4160,658337,-2077,0,0,0,0,-10871,0,0,151,0,0,0,0,0,0,0,11844,-23428
"3.04.05","3.04.05 - Outras Despesas Operacionais","2021",-130782,54,-42984,-130238,-260080,89,0,-68708,-6868,133428,0,5313,-25091,-90898,-998,677,0,-160024,-16205,0,-6068,-27244,-288756,-724,-19851,-153407,0,-204091,-3635,-72326,-69424,-100999,-699,-3728,-8998,-11713
"3.04.06","3.04.06 - Resultado de Equivalência Patrimonial","2021",1742,0,927,297167,17559,0,0,236,76521,36189,23852,0,3360,-8590,29383,4154,11867,-52349,0,0,234,1101,-268,4475,-9137,-2,3890,-7142,-1205,32951,10798,-6801,8444,-4149,4116,21511
"3.05","3.05 - Resultado Antes do Resultado Financeiro e dos Tributos","2021",-256288,-7608,376368,1062937,322865,-3268,32682,265149,309735,210620,150708,48016,1113511,-200716,79275,176563,13756,1129110,60928,0,40480,62236,-352513,34858,171330,163760,19821,-270085,19223,-128110,162091,-90430,158615,-49962,128269,-9162
"3.06","3.06 - Resultado Financeiro","2021",-119187,707,-24727,42997,-78542,8872,-1246,64698,168489,-44580,15568,-9472,-117749,9021,11260,44565,-5128,25092,39011,0,-1567,36555,221669,5375,1027,-1863,8922,121904,-9078,-53040,2402,-60111,-9195,-8088,-7159,-4102
"3.06.01","3.06.01 - Receitas Financeiras","2021",30603,716,24987,271862,80632,9112,4374,102731,187581,65867,79008,9770,147323,19346,0,47642,1426,263296,43874,0,24016,59987,1190706,17569,14505,7413,44832,251622,179,28448,39068,37642,19621,4973,11357,5459
"3.06.02","3.06.02 - Despesas Financeiras","2021",-149790,-9,-49714,-228865,-159174,-240,-5620,-38033,-19092,-110447,-63440,-19242,-265072,-10325,0,-3077,-6554,-238204,-4863,0,-25583,-23432,-969037,-12194,-13478,-9276,-35910,-129718,-9257,-81488,-36666,-97753,-28816,-13061,-18516,-9561
"3.07","3.07 - Resultado Antes dos Tributos sobre o Lucro","2021",-375475,-6901,351641,1105934,244323,5604,31436,329847,478224,166040,166276,38544,995762,-191695,90535,221128,8628,1154202,99939,0,38913,98791,-130844,40233,172357,161897,28743,-148181,10145,-181150,164493,-150541,149420,-58050,121110,-13264
"3.08","3.08 - Imposto de Renda e Contribuição Social sobre o Lucro","2021",-6223,-83,-36332,-88620,-35563,-1845,-11798,-41931,-26087,-84990,-21377,-9012,-14543,-1544,-13088,-16827,-1161,-277397,-13580,0,-11529,-13848,9399,-16375,-17593,-26813,-13856,-40690,-3808,-4491,-3750,-46048,-17455,124,-14321,1402
"3.08.01","3.08.01 - Corrente","2021",-6223,-190,-31893,-93019,-33784,-1878,0,-42640,-29093,-13678,-22373,-7626,-47818,-2959,-13199,-16970,-1267,-160106,-13764,0,-9561,-13618,-7996,-14060,-17593,-25873,-9491,-34971,-3573,-7037,-32184,-44229,-19833,-627,-15334,0
"3.09","3.09 - Resultado Líquido das Operações Continuadas","2021",-381698,-6984,315309,1017314,208760,3759,19638,287916,452137,81050,144899,29532,981219,-193239,77447,204301,7467,876805,86359,0,27384,84943,-121445,23858,154764,135084,14887,-188871,6337,-185641,160743,-196589,131965,-57926,106789,-11862
"3.11","3.11 - Lucro/Prejuízo Consolidado do Período","2021",-381698,-6984,315309,1017314,208760,3759,19638,286221,452137,81050,144899,29532,981219,-193239,77447,204301,7467,876805,86359,0,27384,84943,-121445,23858,154764,135084,14887,-188871,6337,-185641,160743,-196589,131965,-57926,106789,-11862
"3.11.01","3.11.01 - Atribuído a Sócios da Empresa Controladora","2021",-377126,-6982,299753,914356,159504,3759,19518,231212,430128,81254,100969,29532,1003464,-188918,65927,177732,7467,779073,82936,0,24321,82954,-127235,0,79658,135086,8465,-190684,4698,-184725,152056,-191477,120552,-57531,13915,-11549
"3.11.02","3.11.02 - Atribuído a Sócios Não Controladores","2021",-4572,-2,1556,102959,49256,0,120,55009,22009,-205,43930,0,-22245,-4321,11520,26569,0,97732,3423,0,3063,1989,5790,0,75106,-2,6422,1813,1639,-916,8687,-5112,11413,-395,92874,-313
"3.04.03","3.04.03 - Perdas pela Não Recuperabilidade de Ativos","2021",0,-378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.08.02","3.08.02 - Diferido","2021",0,107,-4439,4399,-1779,33,0,709,3006,-71312,996,-1386,33275,1415,111,143,106,-117291,184,0,-1968,-230,17395,-2315,0,-940,-4365,-5719,-235,2546,28434,-1819,2378,751,1013,0
