"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos","2021",0,0,-1082692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-586795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.02","3.02.02 - Custo dos serviços prestados","2021",0,0,-10932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.10","3.10 - Resultado Líquido de Operações Descontinuadas","2021",0,0,0,0,0,0,0,-1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.10.01","3.10.01 - Lucro/Prejuízo Líquido das Operações Descontinuadas","2021",0,0,0,0,0,0,0,-1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita de Incorporação de Imóveis","2021",0,0,0,0,0,0,0,0,0,854059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Impostos Sobre Vendas De Imóveis E Serviços","2021",0,0,0,0,0,0,0,0,0,-35751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo De Incorporação E Venda De Imóveis","2021",0,0,0,0,0,0,0,0,0,-609678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Vendas de Imóveis","2021",0,0,0,0,0,0,0,0,0,0,954508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Ajuste a Valor Presente","2021",0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Taxa de Administração","2021",0,0,0,0,0,0,0,0,0,0,11579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Aluguel de imóveis próprios","2021",0,0,0,0,0,0,0,0,0,0,3709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.06","3.01.06 - Impostos s/ Vendas","2021",0,0,0,0,0,0,0,0,0,0,-21898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Operacional Líquida","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos e dos Serviços Prestados","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5277356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Líquida da venda de Imóveis","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita liquida de incorporação imobiliária","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602727,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação imobiliária","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-449459,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita líquida dos empreendimentos vendidos","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473400,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos empreendimentos vendidos","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355530,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Bruta de Vendas","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121274,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita de prestação de serviços","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25089,0,0,0,0,0,0
"3.02.01","3.02.01 - Deduções da Receita Bruta","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5399,0,0,0,0,0,0
"3.02.02","3.02.02 - Custo dos imóveis vendidos","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112662,0,0,0,0,0,0
"3.02.03","3.02.03 - Custo dos serviços prestados","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20098,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita operacional líquida","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472883,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação e vendas imobiliárias","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-918690,0,0,0,0,0
"3.02.02","3.02.02 - Outros custos","2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44236,0,0,0,0,0
