"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.06.01","3.06.01 - Receitas Financeiras","9M23",13608,553,60321,524960,181477,3048,12400,139458,100120,107812,33763,8530,88662,15084,0,46670,3679,247252,-3476,5542,23823,34100,140730,27382,35807,28199,28890,1591,668,23777,44106,43682,35090,3376,13203,759
"3.06.02","3.06.02 - Despesas Financeiras","9M23",-209430,-41,-74912,-422109,-214110,-476,-24092,-48532,-38978,-115788,-55039,-13362,-250528,-28522,0,-7213,-6197,-335843,65922,-2820,-10175,-19976,-640757,-17421,-36731,-23905,-70821,-44793,-14207,-29818,-20211,-140953,-37494,-3272,-35773,-17645
"3.07","3.07 - Resultado Antes dos Tributos sobre o Lucro","9M23",-362842,-10068,383676,916532,308903,-3758,17000,263208,179719,-175955,126059,36599,377260,-54899,69064,175579,10922,17265,95298,133345,92271,149621,-567898,108900,82213,224994,-43325,-139987,6249,9971,72306,-47784,105383,-78513,36715,4796
"3.08","3.08 - Imposto de Renda e Contribuição Social sobre o Lucro","9M23",-13330,-39,-52659,-112809,-35991,-1232,-16301,-51828,-19702,-37767,-20721,-6207,-102435,50486,-15207,-20874,-2450,76226,-20312,-10861,-14952,-27751,-2080,-21163,-19778,-33794,-14086,-943,-3691,-8615,-34150,-33131,-20865,-249,-13244,-2469
"3.08.01","3.08.01 - Corrente","9M23",-13330,-39,-47943,-105868,0,-1350,0,-42349,-18109,-17604,-15671,-5031,-12361,-3420,-10390,-17978,-1999,-122329,-17496,-6309,-11141,-22734,-4494,-18249,-19778,-29109,-11687,-943,-3934,-7622,-26815,-31770,-15950,-370,-13244,0
"3.09","3.09 - Resultado Líquido das Operações Continuadas","9M23",-376172,-10107,331017,803723,272912,-4990,699,211380,160017,-213722,105338,30392,274825,-4413,53857,154705,8472,93491,74986,122484,77319,121870,-569978,87737,62435,191200,-57411,-140930,2558,1356,38156,-80915,84518,-78762,23471,2327
"3.10","3.10 - Resultado Líquido de Operações Descontinuadas","9M23",-44951,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.11","3.11 - Lucro/Prejuízo Consolidado do Período","9M23",-421123,-10100,331017,803723,272912,-4990,699,211380,160017,-213722,105338,30392,274825,-4413,53857,154705,8472,93491,74986,122484,77319,121870,-569978,87737,62435,191200,-57411,-140930,2558,1356,38156,-80915,84518,-78762,23471,2327
"3.11.01","3.11.01 - Atribuído a Sócios da Empresa Controladora","9M23",-356967,-9880,321442,694280,231954,-4990,-5177,158823,156669,-213675,22176,0,279064,-1766,45288,143307,0,75148,56517,0,77319,122120,-565606,87737,39881,185472,-57620,-140233,1758,736,36224,-76202,79434,-78745,20710,-1250
"3.11.02","3.11.02 - Atribuído a Sócios Não Controladores","9M23",1407,-195,9575,-109443,40958,0,5876,52557,3348,-47,83162,0,-4238,-2647,8569,11398,0,18343,18469,0,-497,-250,-4372,0,22554,5728,209,-1380,800,620,1932,-4713,5084,-17,2761,3577
"3.04.04","3.04.04 - Outras Receitas Operacionais","9M23",0,-4615,0,124470,200446,74,-795,0,0,0,5714,0,0,15112,-17337,0,0,16794,2189,0,44930,0,0,-20656,0,-20829,7463,0,451,0,0,0,0,-50085,22879,0
"3.08.02","3.08.02 - Diferido","9M23",0,0,-4716,-6941,0,118,0,-9479,-1593,-20163,-5050,-1176,-90074,53906,-4817,-2896,-451,198555,-2816,-4552,-3811,-5017,2414,-2914,0,-4685,-2399,0,243,-993,-7335,-1361,-4915,121,0,0
"3.01.01","3.01.01 - Receita liquida","9M23",0,0,0,0,0,12682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita de Incorporação de Imóveis","9M23",0,0,0,0,0,0,0,0,0,893110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Impostos Sobre Vendas De Imóveis E Serviços","9M23",0,0,0,0,0,0,0,0,0,-29962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo De Incorporação E Venda De Imóveis","9M23",0,0,0,0,0,0,0,0,0,-830159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Vendas de Imóveis","9M23",0,0,0,0,0,0,0,0,0,0,923386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Ajuste a Valor Presente","9M23",0,0,0,0,0,0,0,0,0,0,-2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Taxa de Administração","9M23",0,0,0,0,0,0,0,0,0,0,19337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Aluguel de imóveis próprios","9M23",0,0,0,0,0,0,0,0,0,0,7320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.06","3.01.06 - Impostos s/ Vendas","9M23",0,0,0,0,0,0,0,0,0,0,-18649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita com venda de Imóveis","9M23",0,0,0,0,0,0,0,0,0,0,0,0,508619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita com Shoppings centers e locações comerciais","9M23",0,0,0,0,0,0,0,0,0,0,0,0,251768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Receita com Hotéis e Restaurantes","9M23",0,0,0,0,0,0,0,0,0,0,0,0,263694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Receita com operações aeroportuárias","9M23",0,0,0,0,0,0,0,0,0,0,0,0,75254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Com vendas de Imóveis","9M23",0,0,0,0,0,0,0,0,0,0,0,0,-179819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.02","3.02.02 - Com shoppings centers e locações comerciais","9M23",0,0,0,0,0,0,0,0,0,0,0,0,-96266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.03","3.02.03 - Com Hotéis e Restaurantes","9M23",0,0,0,0,0,0,0,0,0,0,0,0,-177128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.04","3.02.04 - Custos com operações aeroportuárias","9M23",0,0,0,0,0,0,0,0,0,0,0,0,-47608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Operacional Líquida","9M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5489155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos e dos Serviços Prestados","9M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4269917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Bruta de Vendas","9M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311765,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita de prestação de serviços","9M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8941,0,0,0,0,0,0
"3.01.03","3.01.03 - Deduções da Receita Bruta","9M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10088,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos","9M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-265408,0,0,0,0,0,0
"3.02.02","3.02.02 - Custos dos Serviços Prestados","9M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação e vendas imobiliárias","9M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-586174,0,0,0,0,0
