"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.01","3.01 - Receita de Venda de Bens e/ou Serviços","9M23",303131,2062,2074576,4542468,1720345,12682,724131,2035127,745243,863148,929108,359378,1099335,77194,696983,647673,84191,5489155,799289,513352,647679,868332,90505,866145,998085,1432402,404940,-5876,181559,310618,786881,2148207,763466,48370,677425,141108
"3.02","3.02 - Custo dos Bens e/ou Serviços Vendidos","9M23",-197293,-1463,-1292957,-3075449,-1124951,-2472,-591107,-1612163,-514052,-830159,-667747,-253514,-500821,-84146,-515575,-436219,-55652,-4269917,-659120,-331953,-518014,-569308,-37361,-626746,-784534,-939164,-312664,-17934,-130328,-264579,-586174,-1707228,-581976,-40646,-545728,-108069
"3.02.01","3.02.01 - Desenvolvimento e venda de lotes","9M23",-197293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.03","3.03 - Resultado Bruto","9M23",105838,599,781619,1467019,595394,10210,133024,422964,231191,32989,261361,105864,598514,-6952,181408,211454,28539,1219238,140169,181399,129665,299024,53144,239399,213551,493238,92276,-23810,51231,46039,200707,440979,181490,7724,131697,33039
"3.04","3.04 - Despesas/Receitas Operacionais","9M23",-272858,-11179,-383352,-653338,-253858,-16540,-104332,-250682,-112614,-200968,-114026,-64433,-59388,-34509,-106663,-75332,-15099,-1113382,-107317,-50776,-51042,-163527,-121015,-140460,-130414,-272538,-93670,-72975,-31443,-30027,-152296,-391492,-73703,-86341,-72412,-11357
"3.04.01","3.04.01 - Despesas com Vendas","9M23",-23026,-574,-209754,-452539,-145344,-2399,-45173,-117761,-83363,-31215,-87039,-35179,-42568,-12183,-37552,-53376,-2178,-549122,-60938,-24231,-34325,-74607,-32561,-50664,-69824,-166425,-63532,-3420,-15311,-19427,-84531,-166936,-52963,-6310,-40249,-15316
"3.04.02","3.04.02 - Despesas Gerais e Administrativas","9M23",-47934,-5879,-129708,-382925,-130112,-14215,-58364,-130628,-101920,-91391,-83325,-24331,-203966,-27753,-65967,-32457,-17431,-459231,-49123,-26545,-61829,-62316,-49460,-69532,-49753,-84943,-40942,-12298,-16583,-34290,-102912,-138998,-60377,-29871,-55756,-23170
"3.04.03","3.04.03 - Perdas pela Não Recuperabilidade de Ativos","9M23",-1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.04.05","3.04.05 - Outras Despesas Operacionais","9M23",-202194,-111,-44181,-111933,-217204,0,0,-17170,-8909,-76028,0,-4923,183630,-5870,-2102,-2949,-1820,-54370,0,0,0,-27678,-39514,0,-8838,0,0,-62134,0,12591,-17915,-85265,18068,0,0,2696
"3.04.06","3.04.06 - Resultado de Equivalência Patrimonial","9M23",2035,0,291,169589,38356,0,0,14877,81578,-2334,50624,0,3516,-3815,16295,13450,6330,-67453,4871,0,182,1074,520,392,-1999,-341,3341,4877,0,11099,53062,-293,21569,-75,714,24433
"3.05","3.05 - Resultado Antes do Resultado Financeiro e dos Tributos","9M23",-167020,-10580,398267,813681,341536,-6330,28692,172282,118577,-167979,147335,41431,539126,-41461,74745,136122,13440,105856,32852,130623,78623,135497,-67871,98939,83137,220700,-1394,-96785,19788,16012,48411,49487,107787,-78617,59285,21682
"3.06","3.06 - Resultado Financeiro","9M23",-195822,512,-14591,102851,-32633,2572,-11692,90926,61142,-7976,-21276,-4832,-161866,-13438,-5681,39457,-2518,-88591,62446,2722,13648,14124,-500027,9961,-924,4294,-41931,-43202,-13539,-6041,23895,-97271,-2404,104,-22570,-16886
