"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"1","1 - Ativo Total","4T21",1862404,116500,2597922,13841170,5679619,1058396,767648,5929910,5075498,4722224,4306710,801480,8411534,1199309,1466555,1751040,191419,20321428,1951410,0,1585090,2693527,1275373,633257,1311921,1268517,1936890,1266760,407172,1556408,4000426,4441497,2340065,328603,1433837,374150
"1.01","1.01 - Ativo Circulante","4T21",658848,20785,1874318,7960916,2856340,196671,670186,4343892,2203071,2909195,2669440,356196,2041760,1008408,909629,1139963,112102,9458398,1689609,0,1214894,1227498,1000312,541193,949542,1144108,949308,447861,121490,767890,2471104,2815936,1571137,163271,1149360,195342
"1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T21",11137,2113,473052,205944,723954,3794,124013,42317,62045,35424,136313,46693,421743,20063,193667,7115,27281,947928,16140,0,143619,113881,84886,234374,243926,200338,57450,7510,29385,103863,586089,87074,387514,63467,128310,34514
"1.01.02","1.01.02 - Aplicações Financeiras","4T21",110340,12147,218524,2298888,325206,64064,0,899261,835645,577361,239665,58,455751,6868,0,460223,0,0,384553,0,109631,71005,13186,0,56415,91033,0,2464,0,71145,22049,977870,0,0,0,0
"1.01.03","1.01.03 - Contas a Receber","4T21",196147,3966,661629,1724412,231761,7887,194264,1105214,336533,425508,406155,60633,694841,138693,187229,271790,13789,2380285,1288916,0,300688,308798,207000,131668,215312,154009,344251,144486,44021,30556,785409,601886,370851,16456,257098,33708
"1.01.05","1.01.05 - Outros Ativos Circulantes","4T21",341224,2437,34447,233044,344828,408,351909,142973,45530,191163,91649,7688,193570,53327,528733,6034,3966,1810938,0,0,21770,21219,17177,51415,31281,698728,71194,16032,14328,41905,159053,170656,11086,18222,60205,10925
"1.02","1.02 - Ativo Não Circulante","4T21",1203556,95715,723604,5880254,2823279,861725,97462,1586018,2872427,1813029,1637270,445284,6369774,190901,556926,611077,79317,10863030,261801,0,370196,1466029,275061,92064,362379,124409,987582,818899,285682,788518,1529322,1625561,768928,165332,284477,178808
"1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T21",658080,95509,605173,3650145,2587211,861725,71462,1534704,2381527,1217240,1108813,304724,1342475,150723,440778,591097,12819,7561633,243288,0,345736,1114605,243672,75473,285697,111336,894309,694136,279661,172155,853423,1359036,675082,158510,249056,17303
"1.02.01.04","1.02.01.02 - Contas a Receber","4T21",356693,3193,518947,609232,244585,18004,41236,476475,737439,116223,370726,45138,364948,21534,78018,81194,8607,1737445,243091,0,154333,343059,40517,42159,245753,64188,519667,44769,29607,55864,92326,492085,105189,8646,95340,15438
"1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T21",301387,4416,35863,206226,37554,2907,29432,209375,92133,169013,34969,2904,22978,2163,362760,1924,1313,908334,0,0,25474,346192,120305,28163,1189,47148,19378,204477,22,9895,31985,29253,2788,12344,2206,46
"1.02.02","1.02.02 - Investimentos","4T21",22101,0,92666,2070208,117980,0,644,29731,444381,383942,433234,106930,3648342,19026,99620,15083,65188,2509610,4584,0,3170,331449,30108,1377,27697,1998,69003,121921,3574,589630,412498,32236,64342,4034,8698,155693
"1.02.03","1.02.03 - Imobilizado","4T21",21757,171,25765,124188,99075,0,24168,21288,45342,44033,94405,33627,1264763,3356,9534,4077,384,614443,13771,0,14020,11919,387,15214,41189,10072,17871,512,2447,13117,54241,202262,26903,2555,26627,5789
"1.02.04","1.02.04 - Intangível","4T21",501618,35,0,35713,19013,0,1188,295,1177,167814,818,3,114194,17796,6994,820,926,177344,158,0,7270,8056,894,0,7796,1003,6399,2330,0,13616,209160,32027,2601,233,96,23
"2","2 - Passivo Total","4T21",1862404,116500,2597922,13841170,5679619,1058396,767648,5929910,5075498,4722224,4306710,801480,8411534,1199309,1466555,1751040,191419,20321428,1951410,0,1585090,2693527,1275373,633257,1311921,1268517,1936890,1266760,407172,1556408,4000426,4441497,2340065,328603,1433837,374150
