"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"2.01","2.01 - Passivo Circulante","4T21",682288,9874,1115379,2562219,496841,50836,113654,2315443,470140,1367625,846822,262816,843724,1171674,163280,359087,56263,3979882,665681,0,371544,663328,2975730,89836,560866,239360,467976,1640853,104237,244539,552990,1280806,447358,361841,381660,117893
"2.01.01","2.01.01 - Obrigações Sociais e Trabalhistas","4T21",48140,0,16567,108152,31827,640,10466,0,8643,24402,9155,6061,0,2281,5390,5989,6399,178370,0,0,13920,22180,11562,0,9531,19151,15555,1239,1434,17404,39360,68478,9977,18546,3152,2056
"2.01.02","2.01.02 - Fornecedores","4T21",57350,1113,87488,219163,92054,6364,15659,60333,49483,55371,54063,41018,0,65605,25061,12230,25780,716428,41916,0,35284,73563,234004,48395,44402,70986,48476,52365,29569,9814,53324,110842,45693,13089,36279,3336
"2.01.04","2.01.04 - Empréstimos e Financiamentos","4T21",107818,0,68020,719738,137293,0,1253,106019,6214,404425,435408,115152,258627,565829,36197,505,8966,859817,6824,0,89954,85195,1122993,1249,63159,59793,84766,602690,40434,41881,87287,344854,146092,211226,23504,42173
"2.01.05","2.01.05 - Outras Obrigações","4T21",468980,8598,925411,1436171,210573,40800,72480,2149091,367397,796409,343035,85787,585097,456598,86147,331633,14860,2104898,597907,0,220371,466622,1560943,40192,417577,74129,313398,984559,24265,169827,348376,724041,240027,90693,314869,69507
"2.02","2.02 - Passivo Não Circulante","4T21",1167320,6170,744215,4477027,3723998,100664,210789,1022129,236297,1538645,1645499,461196,3021350,679924,505175,141991,125995,9767920,86707,0,218613,958436,3511491,177971,263773,711934,830790,350598,245365,650635,1035198,1948063,621530,167813,779627,125575
"2.02.01","2.02.01 - Empréstimos e Financiamentos","4T21",826673,576,323208,2921850,1139326,6583,151696,207514,23145,1164799,859357,94107,1718365,33141,261237,2562,78350,4372960,5610,0,16574,39670,0,145319,209727,346177,443911,260,66936,519600,544716,1051903,496457,0,518936,34655
"2.02.02","2.02.02 - Outras Obrigações","4T21",340647,5594,421007,1555177,2584672,94081,59093,814615,213152,373846,786142,367089,1302985,646783,243938,139429,47645,5394960,81097,0,202039,918766,3511491,32652,54046,365757,386879,350338,178429,131035,490482,896160,125073,152813,260691,90920
"2.03","2.03 - Patrimônio Líquido","4T21",12796,100456,738328,6801924,1458780,906896,443205,2592338,4369061,1815954,1814389,77468,4546460,-652289,798100,1249962,9161,6573626,1199022,0,994933,1071763,-5211848,365450,487282,317223,638124,-724691,57570,661234,2412238,1212628,1271177,-201051,272550,130682
"2.03.01","2.03.01 - Capital Social Realizado","4T21",1581004,122649,291054,3395744,752982,902440,275500,1657409,2888997,1248575,1310225,87196,1865950,2103387,631783,1133581,4000,4615171,1109029,0,959493,1296985,5293820,264962,269172,93231,512438,2611390,1000,1868316,295069,1095511,866080,2449892,129921,40729
"2.03.02","2.03.02 - Reservas de Capital","4T21",1052688,0,17477,-72755,172589,0,0,-17091,-126650,196367,-61973,0,0,0,-3017,-44593,0,71969,-31692,0,0,25179,1236743,0,259,-21855,-15876,20953,0,-39682,1920051,-152603,-11956,-83099,16401,6000
"2.03.05","2.03.05 - Lucros/Prejuízos Acumulados","4T21",-2620577,-22434,0,0,0,0,0,180488,0,370309,0,-9728,0,-2661232,0,0,0,0,0,0,0,-344409,-11674334,0,74978,0,0,-3356637,0,-1238385,0,0,0,-2567844,-74629,20916
"2.03.09","2.03.09 - Participação dos Acionistas Não Controladores","4T21",-319,214,147230,603872,158903,0,7455,771532,85608,703,481167,0,81896,-93433,91159,71829,0,479992,44022,0,7123,-2853,-61409,0,142873,-15,14014,-397,8050,70985,21622,9215,50072,0,200855,63037
"1.01.04","1.01.04 - Estoques","4T21",0,122,486666,3498628,1230591,120518,0,2154127,923318,1679739,1795658,241124,275855,789457,0,394801,67066,4319247,0,0,639186,712595,678063,123736,402608,0,476413,277369,33756,520421,918504,978450,801686,65126,703747,116195
"1.02.01.05","1.02.01.03 - Estoques","4T21",0,87900,46042,1486656,2303436,840814,0,742471,1551955,531111,653339,235740,928943,125540,0,388060,227,4847627,0,0,164225,421393,82850,5151,24403,0,348347,235323,234180,36299,689751,798667,528832,136317,50775,0
"2.01.03","2.01.03 - Obrigações Fiscais","4T21",0,163,17893,78995,25094,3032,13796,0,38403,87018,5161,14798,0,81361,10485,8730,258,120369,19034,0,12015,15768,46228,0,26197,15301,5781,0,8535,5613,24643,32591,5569,28287,3856,821
"2.03.08","2.03.08 - Outros Resultados Abrangentes","4T21",0,27,0,-3778,0,0,0,0,0,0,0,0,0,-1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24764,0,0,0,0
"1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T21",0,0,4321,554070,1636,0,794,106383,0,0,49779,20942,25606,991,0,13330,2672,68227,197,0,1704,3961,0,0,12013,0,3279,209567,15852,69146,39361,39031,38273,1203,100735,1819
"2.03.04","2.03.04 - Reservas de Lucros","4T21",0,0,282567,2878841,404153,4456,160250,0,1521106,0,97209,0,2598614,0,78175,89145,5161,1332517,77663,0,28317,0,-6668,100488,0,245862,127548,0,48334,0,175496,285269,366981,0,2,0
"1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T21",0,0,0,793961,0,0,0,0,0,400893,0,0,0,495,0,106589,0,0,0,0,0,0,0,0,2339,0,3638,0,0,951,0,0,0,0,0,0
"2.03.06","2.03.06 - Ajustes de Avaliação Patrimonial","4T21",0,0,0,0,-29847,0,0,0,0,0,-12239,0,0,0,0,0,0,73977,0,0,0,96861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.03.07","2.03.07 - Ajustes Acumulados de Conversão","4T21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0
