"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.01","3.01 - Receita de Venda de Bens e/ou Serviços","6M23",180773,235,1322702,2916481,1162677,7642,499816,1383322,493516,576738,604490,251870,749248,62155,432247,442693,59399,3515543,540639,603638,371127,566431,41619,545926,586328,875673,274636,-13228,116302,241541,502613,1361895,510287,30001,471247,72837
"3.02","3.02 - Custo dos Bens e/ou Serviços Vendidos","6M23",-118017,0,-824986,-1994926,-759652,-1496,-406935,-1084362,-343650,-528027,-437228,-177853,-331741,-59323,-325887,-300137,-40438,-2756888,-438664,-399498,-295367,-377592,-21232,-395428,-460796,-560860,-211164,4043,-80415,-198319,-361911,-1091521,-387333,-28762,-374213,-54208
"3.02.01","3.02.01 - Desenvolvimento e venda de lotes","6M23",-118017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.03","3.03 - Resultado Bruto","6M23",62756,235,497716,921555,403025,6146,92881,298960,149866,48711,167262,74017,417507,2832,106360,142556,18961,758655,101975,204140,75760,188839,20387,150498,125532,314813,63472,-9185,35887,43222,140702,270374,122954,1239,97034,18629
"3.04","3.04 - Despesas/Receitas Operacionais","6M23",-232770,-5465,-235014,-425439,-170639,-11612,-70642,-169095,-62475,-134135,-79406,-43126,-61914,-2437,-72799,-48637,-8771,-677217,-73143,-71802,-12082,-100454,-58735,-90078,-77764,-183792,-44146,-47686,-20580,-24244,-98682,-234882,-47405,-43415,-72339,-3482
"3.04.01","3.04.01 - Despesas com Vendas","6M23",-15665,-556,-128759,-297486,-96878,-2006,-30875,-71755,-54799,-22295,-58962,-23870,-28118,-10608,0,-36250,-1746,-352769,-37572,-32160,-22235,-44803,-23080,-33764,-37362,-107839,-34891,-2032,-10052,-14131,-56455,-104879,-34479,-4707,-27235,-9157
"3.04.02","3.04.02 - Despesas Gerais e Administrativas","6M23",-28533,-4067,-75463,-232373,-85380,-9606,-38474,-79170,-66912,-63018,-55710,-16004,-139425,-19738,-47174,-21767,-10726,-307525,-30589,-39642,-35811,-40059,-32600,-42642,-31900,-55735,-24865,-8218,-11165,-21417,-68585,-82861,-41483,-19977,-38284,-15838
"3.04.03","3.04.03 - Perdas pela Não Recuperabilidade de Ativos","6M23",-1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.04.05","3.04.05 - Outras Despesas Operacionais","6M23",-188325,-199,-31378,-74121,-191554,0,0,-19973,-8089,-52716,0,-3252,102837,15779,-36967,-1606,0,-114067,-2211,0,0,-16446,-4435,0,0,0,0,-37137,637,0,-3016,-48600,14099,-18715,0,3903
"3.04.06","3.04.06 - Resultado de Equivalência Patrimonial","6M23",931,0,586,80159,18687,0,0,1803,67325,3894,31278,0,2792,-2977,11342,10986,4875,-38325,1967,0,-98,854,1380,519,-1895,-195,2455,-299,0,5909,29374,1458,14458,-16,-143,17610
