"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.05","3.05 - Resultado Antes do Resultado Financeiro e dos Tributos","6M23",-170014,-5230,262702,496116,232386,-5466,22239,129865,87391,-85424,87856,30891,355593,395,33561,93919,10190,81438,28832,132338,63678,88385,-38348,60420,47768,131021,19326,-56871,15307,18978,42020,35492,75549,-42176,24695,15147
"3.06","3.06 - Resultado Financeiro","6M23",-123284,421,-11045,74770,-20449,2447,-9061,57733,47418,-17855,-14141,-4539,-102431,-7781,-6030,23256,-1431,40197,40398,5332,19856,4749,-295671,7001,-886,3570,-24553,-33738,-9716,-3584,14964,-69358,-1425,1390,-12146,-11634
"3.06.01","3.06.01 - Receitas Financeiras","6M23",9470,445,40653,368852,118110,2464,7264,92441,72046,58298,23910,3276,70091,14676,0,29307,2784,164713,42545,9052,27361,19991,132758,18683,22013,17849,20732,1085,276,17078,28327,24400,24510,2590,8968,236
"3.06.02","3.06.02 - Despesas Financeiras","6M23",-132754,-24,-51698,-294082,-138559,-17,-16325,-34708,-24628,-76153,-38051,-7815,-172522,-22457,0,-6051,-4215,-124516,-2147,-3720,-7505,-15242,-428429,-11682,-22899,-14279,-45285,-34823,-9992,-20662,-13363,-93758,-25935,-1200,-21114,-11870
"3.07","3.07 - Resultado Antes dos Tributos sobre o Lucro","6M23",-293298,-4809,251657,570886,211937,-3019,13178,187598,134809,-103279,73715,26352,253162,-7386,27531,117175,8759,121635,69230,137670,83534,93134,-334019,67421,46882,134591,-5227,-90609,5591,15394,56984,-33866,74124,-40786,12549,3513
"3.08","3.08 - Imposto de Renda e Contribuição Social sobre o Lucro","6M23",-7785,-14,-33531,-71801,-24899,-814,-10698,-36471,-13267,-21708,-13362,-4142,-57694,48287,-9481,-13958,-2029,111581,-14180,-14600,-8927,-17494,-7665,-14130,-11887,-21089,-9239,-2213,-2368,-5937,-26640,-21687,-13652,-216,-9167,-1255
"3.08.01","3.08.01 - Corrente","6M23",-7785,-21,-29615,-69932,0,-940,0,-30507,-12978,-11495,-10103,-3316,-8033,-2629,-6973,-12223,-1576,-80010,-12125,-7830,-7200,-14678,-4642,-13713,-11887,-17143,-7502,-748,-2368,-5363,-19483,-21547,-9017,-260,-7884,-1255
"3.09","3.09 - Resultado Líquido das Operações Continuadas","6M23",-301083,-4823,218126,499085,187038,-3833,2480,151127,121542,-124987,60353,22210,195468,40901,18050,103217,6730,233216,55050,123070,74607,75640,-341684,53291,34995,113502,-14466,-92822,3223,9457,30344,-55553,60472,-41002,3382,2258
"3.11","3.11 - Lucro/Prejuízo Consolidado do Período","6M23",-301083,-4823,218126,499085,187038,-3833,2480,151127,121542,-124987,60353,22210,195468,40901,18050,103217,6730,233216,55050,123070,74607,75640,-341684,53291,34995,113502,-14466,-92822,3223,9457,30344,-55553,60472,-41002,3382,2258
"3.11.01","3.11.01 - Atribuído a Sócios da Empresa Controladora","6M23",-301925,0,213222,442961,163193,0,-912,110789,117558,-124985,13645,0,199871,41271,12522,94742,6730,211675,0,0,74927,75999,-339942,0,16624,109740,-16859,-91987,0,8723,28806,-52437,56466,-41055,4512,-11
"3.11.02","3.11.02 - Atribuído a Sócios Não Controladores","6M23",842,0,4904,-56124,23845,0,3392,40338,3984,-2,46708,0,-2409,-370,5528,8475,0,21541,0,0,-320,-359,-1742,0,18371,3762,2393,835,0,734,1538,-3116,4006,53,-1130,2269
"3.04.04","3.04.04 - Outras Receitas Operacionais","6M23",0,-643,0,98382,184486,0,-1293,0,0,0,3988,0,0,15107,0,0,-1174,135469,0,0,46062,0,0,-14191,-6607,-20023,13155,0,0,5395,0,0,0,0,-6677,0
"3.08.02","3.08.02 - Diferido","6M23",0,7,-3916,-1869,0,126,0,-5964,-289,-10213,-3259,-826,-49661,50916,-2508,-1735,-453,191591,-2055,-6770,-1727,-2816,-3023,-417,0,-3946,-1737,-1465,0,-574,-7157,-140,-4635,44,-1283,0
"3.01.01","3.01.01 - Receita de Incorporação de Imóveis","6M23",0,0,0,0,0,0,0,0,0,597864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Impostos Sobre Vendas De Imóveis E Serviços","6M23",0,0,0,0,0,0,0,0,0,-21126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo De Incorporação E Venda De Imóveis","6M23",0,0,0,0,0,0,0,0,0,-528027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Vendas de Imóveis","6M23",0,0,0,0,0,0,0,0,0,0,601414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Ajuste a Valor Presente","6M23",0,0,0,0,0,0,0,0,0,0,-682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Taxa de Administração","6M23",0,0,0,0,0,0,0,0,0,0,11632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Aluguel de imóveis próprios","6M23",0,0,0,0,0,0,0,0,0,0,5352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.06","3.01.06 - Impostos s/ Vendas","6M23",0,0,0,0,0,0,0,0,0,0,-13226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita com venda de Imóveis","6M23",0,0,0,0,0,0,0,0,0,0,0,0,359107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita com Shoppings centers e locações comerciais","6M23",0,0,0,0,0,0,0,0,0,0,0,0,171603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Receita com Hotéis e Restaurantes","6M23",0,0,0,0,0,0,0,0,0,0,0,0,173365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Receita com operações aeroportuárias","6M23",0,0,0,0,0,0,0,0,0,0,0,0,45173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Com vendas de Imóveis","6M23",0,0,0,0,0,0,0,0,0,0,0,0,-119726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.02","3.02.02 - Com shoppings centers e locações comerciais","6M23",0,0,0,0,0,0,0,0,0,0,0,0,-65299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.03","3.02.03 - Com Hotéis e Restaurantes","6M23",0,0,0,0,0,0,0,0,0,0,0,0,-119520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.04","3.02.04 - Custos com operações aeroportuárias","6M23",0,0,0,0,0,0,0,0,0,0,0,0,-27196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Operacional Líquida","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3515543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos e dos Serviços Prestados","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2756888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita líquida com venda de imóveis","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos imóveis vendidos","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-399498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita líquida dos empreendimentos vendidos","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274636,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos empreendimentos vendidos","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-211164,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Bruta de Vendas","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225203,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita de prestação de serviços","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23567,0,0,0,0,0,0
"3.01.03","3.01.03 - Deduções da Receita Bruta","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7229,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-184258,0,0,0,0,0,0
"3.02.02","3.02.02 - Custos dos Serviços Prestados","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14061,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita operacional líquida","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502613,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação e vendas imobiliárias","6M23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-361911,0,0,0,0,0
