"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.01","3.01 - Receita de Venda de Bens e/ou Serviços","1T23",95136,112,594956,1283426,557269,3795,246794,624590,250784,292506,270251,119859,354834,42384,238156,159165,34922,1689885,298968,302372,190651,253102,6052,218157,229927,390173,132011,-27319,64949,139730,267350,1302886,243208,18363,221928,29053
"3.02","3.02 - Custo dos Bens e/ou Serviços Vendidos","1T23",-63225,0,-371272,-888959,-359425,-773,-190740,-486768,-179499,-262448,-191191,-84017,-159834,-39992,-180946,-109940,-25506,-1336432,-247900,-194304,-145506,-170105,-5337,-159919,-175811,-249484,-103596,15310,-45161,-110974,-189250,-1037610,-184039,-16906,-171913,-20058
"3.02.01","3.02.01 - Desenvolvimento e venda de lotes","1T23",-63225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.03","3.03 - Resultado Bruto","1T23",31911,112,223684,394467,197844,3022,56054,137822,71285,30058,79060,35842,195000,2392,57210,49225,9416,353453,51068,108068,45145,82997,715,58238,54116,140689,28415,-12009,19788,28756,78100,265276,59169,1457,50015,8995
"3.04","3.04 - Despesas/Receitas Operacionais","1T23",-31070,-2279,-108326,-217017,-94946,-6086,-34585,-70876,-42095,-70916,-36193,-22731,-4626,-13730,-32693,-21294,-4366,-384599,-34066,-37568,-24564,-48582,-49105,-41980,-33172,-92024,-13853,-12341,-10013,-19216,-50173,-222848,-20191,-27668,-36627,-10260
"3.04.01","3.04.01 - Despesas com Vendas","1T23",-7451,0,-62031,-142049,-43360,-1420,-14488,-29003,-24931,-9921,-28386,-11723,-12803,-1739,0,-17045,-712,-162064,-15388,-15316,-12800,-20392,-9543,-15767,-16442,0,-16738,-703,-3873,-7544,-30114,-95480,-17688,-1724,-11992,-4366
"3.04.02","3.04.02 - Despesas Gerais e Administrativas","1T23",-15469,-2045,-33375,-113765,-41957,-3464,-18435,-31738,-31235,-33590,-26524,-8114,-76569,-7886,-35689,-10135,-5819,-147045,-16098,-22252,-7401,-18756,-18947,-19655,-14703,-27591,-12995,-3991,-9523,-12701,-32766,-74830,-21706,-9264,-17839,-9073
"3.04.03","3.04.03 - Perdas pela Não Recuperabilidade de Ativos","1T23",-420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.04.05","3.04.05 - Outras Despesas Operacionais","1T23",-8327,-41,-12810,-16644,-21487,-1202,0,-10854,-3262,-32754,0,-2894,83042,-3844,0,-619,0,-56724,0,0,-3740,0,-20770,-6507,0,-49374,0,-7355,0,-301,464,-53144,0,0,0,-2026
"3.04.06","3.04.06 - Resultado de Equivalência Patrimonial","1T23",597,0,-110,47138,6754,0,0,719,17333,5349,12821,0,1704,-262,2996,6505,2331,-24720,847,0,-623,212,155,-51,-674,0,1605,-292,-424,1330,12243,606,8429,0,-1099,5205
"3.05","3.05 - Resultado Antes do Resultado Financeiro e dos Tributos","1T23",841,-2167,115358,177450,102898,-3064,21469,66946,29190,-40858,42867,13111,190374,-11338,24517,27931,5050,-31146,17002,70500,20581,34415,-48390,16258,20944,48665,14562,-24350,9775,9540,27927,42428,38978,-26211,13388,-1265
"3.06","3.06 - Resultado Financeiro","1T23",-54658,268,-5444,45587,-19298,964,-5133,23809,24322,26416,-9148,-379,-63064,3814,-3679,7280,-255,-89283,16496,608,2527,4032,-155763,1719,1264,4881,-7602,-24613,-6929,-1877,6028,-107472,-1514,363,-6912,-5682
"3.06.01","3.06.01 - Receitas Financeiras","1T23",5167,279,20228,190820,49962,978,3243,41123,36663,67036,12145,3128,21791,13104,0,11658,1331,83906,17176,2412,4740,10824,49391,7852,12655,11630,14685,543,261,8321,15301,24820,12206,1144,4784,94
"3.06.02","3.06.02 - Despesas Financeiras","1T23",-59825,-11,-25672,-145233,-69260,-14,-8376,-17314,-12341,-40620,-21293,-3507,-84855,-9290,-3679,-4378,-1586,-173189,-680,-1804,-2213,-6792,-205154,-6133,-11391,-6749,-22287,-25156,-7190,-10198,-9273,-132292,-13720,-781,-11696,-5776
"3.07","3.07 - Resultado Antes dos Tributos sobre o Lucro","1T23",-53817,-1899,109914,223037,83600,-2100,16336,90755,53512,-14442,33719,12732,127310,-7524,20838,35211,4795,-120429,33498,71108,23108,38447,-204153,17977,22208,53546,6960,-48963,2846,7663,33955,-65044,37464,-25848,6476,-6947
"3.08","3.08 - Imposto de Renda e Contribuição Social sobre o Lucro","1T23",-3621,-6,-15336,-31977,-11335,-345,-5056,-15501,-7482,-19582,-5883,-1963,-40449,47608,-5239,-5129,-686,161165,-6439,-5732,-4428,-8032,-5758,-6174,-5219,-10291,-4522,-1047,-1307,-2995,-15516,-22326,-6442,-127,-4478,-443
"3.08.01","3.08.01 - Corrente","1T23",-3621,-13,-13709,-35951,-11034,-397,0,-12346,-7063,-5920,-4734,-1546,-3860,-1351,-3461,-4345,-744,-39674,-4784,-3940,-3211,-6966,-3346,-6174,-5219,-7802,-3283,-207,-425,-2959,-10013,-19696,-3721,-114,-4025,0
"3.09","3.09 - Resultado Líquido das Operações Continuadas","1T23",-57438,-1905,94578,191060,72265,-2445,11280,75254,46030,-34024,27836,10769,86861,40084,15599,30082,4109,40736,27059,65376,18680,30415,-209911,11803,16989,43255,2438,-50010,1539,4668,18439,-87370,31022,-25975,1998,-7390
"3.11","3.11 - Lucro/Prejuízo Consolidado do Período","1T23",-57438,-1905,94578,191060,72265,-2445,11280,75254,46030,-34024,27836,10769,86861,40084,15599,30082,4109,40736,27059,65376,18680,30415,-209911,11803,16989,43255,2438,-50010,1539,4668,18439,-87370,31022,-25975,1998,-7390
"3.11.01","3.11.01 - Atribuído a Sócios da Empresa Controladora","1T23",-57620,0,91849,163576,58754,-2445,9750,54727,42225,-34022,6573,0,87175,40111,11839,25609,4109,30577,20119,0,18862,30679,-208970,11803,11204,40766,778,-48847,1079,4146,18772,-41902,27709,-26197,1665,-6723
"3.11.02","3.11.02 - Atribuído a Sócios Não Controladores","1T23",182,0,2207,27484,13511,0,1529,20527,3805,-2,21263,0,314,-27,3760,4473,0,10159,6940,0,-182,-264,-941,0,5785,2489,1660,-1163,460,522,-333,-3566,3313,222,333,-667
"3.04.04","3.04.04 - Outras Receitas Operacionais","1T23",0,-193,0,8303,5104,0,-1662,0,0,0,5896,0,0,1,0,0,-166,5954,-1687,0,0,-9646,0,0,-1353,-15059,14275,0,3807,0,0,0,10774,-16680,-5697,0
"3.08.02","3.08.02 - Diferido","1T23",0,7,-1627,3974,-301,52,0,-3155,-419,-13662,-1149,-417,-36589,48959,-1778,-784,58,200839,-1655,-1792,-1217,-1066,-2412,0,0,-2489,-1239,-840,-882,-36,-5503,-2630,-2721,-13,-453,-443
"3.01.01","3.01.01 - Receita de Incorporação de Imóveis","1T23",0,0,0,0,0,0,0,0,0,302184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Impostos Sobre Vendas De Imóveis E Serviços","1T23",0,0,0,0,0,0,0,0,0,-9678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo De Incorporação E Venda De Imóveis","1T23",0,0,0,0,0,0,0,0,0,-262448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Vendas de Imóveis","1T23",0,0,0,0,0,0,0,0,0,0,271268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Ajuste a Valor Presente","1T23",0,0,0,0,0,0,0,0,0,0,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Taxa de Administração","1T23",0,0,0,0,0,0,0,0,0,0,4055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Aluguel de imóveis próprios","1T23",0,0,0,0,0,0,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.06","3.01.06 - Impostos s/ Vendas","1T23",0,0,0,0,0,0,0,0,0,0,-6028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita com venda de Imóveis","1T23",0,0,0,0,0,0,0,0,0,0,0,0,169111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita com Shoppings centers e locações comerciais","1T23",0,0,0,0,0,0,0,0,0,0,0,0,81219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.03","3.01.03 - Receita com Hotéis e Restaurantes","1T23",0,0,0,0,0,0,0,0,0,0,0,0,82070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.04","3.01.04 - Receita com operações aeroportuárias","1T23",0,0,0,0,0,0,0,0,0,0,0,0,22434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Com vendas de Imóveis","1T23",0,0,0,0,0,0,0,0,0,0,0,0,-60989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.02","3.02.02 - Com shoppings centers e locações comerciais","1T23",0,0,0,0,0,0,0,0,0,0,0,0,-28639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.03","3.02.03 - Com Hotéis e Restaurantes","1T23",0,0,0,0,0,0,0,0,0,0,0,0,-56839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.04","3.02.04 - Custos com operações aeroportuárias","1T23",0,0,0,0,0,0,0,0,0,0,0,0,-13367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Operacional Líquida","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos e dos Serviços Prestados","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1336432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita de imóveis vendidos","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custos dos imóveis vendidos","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita líquida dos empreendimentos vendidos","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132011,0,0,0,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos empreendimentos vendidos","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103596,0,0,0,0,0,0,0,0,0
"3.01.01","3.01.01 - Receita Bruta de Vendas","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134741,0,0,0,0,0,0
"3.01.02","3.01.02 - Receita de prestação de serviços","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8534,0,0,0,0,0,0
"3.01.03","3.01.03 - Deduções da Receita Bruta","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3545,0,0,0,0,0,0
"3.02.01","3.02.01 - Custo dos Imóveis Vendidos","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104948,0,0,0,0,0,0
"3.02.02","3.02.02 - Custos dos Serviços Prestados","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6026,0,0,0,0,0,0
"3.02.01","3.02.01 - Custos de incorporação e vendas imobiliárias","1T23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-189250,0,0,0,0,0
